,C,coef0,degree,dev_accuracy,epsilon,gamma,kernel,max_iter,normalization,shrinking
0,3.61767592669,0.271338428821,3,2.92788466483,0.198501062569,0.0963741117396,sigmoid,2300,l1,True
0,2.4569944998,0.855112768434,5,366341.754126,0.0915926627639,0.00152043188552,sigmoid,6500,none,False
0,4.16331114929,0.769431901903,2,464.120753968,0.359996039363,0.00485678941536,poly,2400,none,False
0,2.14006746302,0.186715198054,8,12.4122959883,0.489919885628,auto,linear,1200,none,True
0,1.79084424408,0.0884537012778,9,1.68881020626,0.281470930349,auto,sigmoid,8200,max,False
0,1.83967989469,0.74894573875,7,1.95861317439e+12,0.128927745178,0.0109895378153,poly,4100,none,True
0,3.24203284803,0.15052232247,4,3.16636361853,0.236741937219,0.0608289645108,linear,4400,max,False
0,0.869066146936,0.783048899315,8,3.17160045594e+16,0.464165603419,0.0583354340127,poly,6600,none,True
0,0.744728195802,0.702046095772,6,2.79284404123,0.248245023547,auto,rbf,8600,max,False
0,2.10200194875,0.623282027066,9,2.79165964143,0.0609946410848,auto,sigmoid,2200,l1,True
0,0.862580615664,0.513069072829,5,2.84942350457,0.071971636231,auto,poly,1700,none,False
0,4.50427196571,0.333068583114,2,2.79165964143,0.28315592134,auto,sigmoid,1000,l1,True
0,2.68386523208,0.931310342626,8,3.1462787087,0.264172487713,0.0751247516732,sigmoid,3600,l2,True
0,2.48189793652,0.477467208507,2,2.79165964143,0.190740335045,auto,sigmoid,2300,l2,False
0,0.147116326658,0.594654810231,8,2.84344945745,0.109821500816,auto,poly,5300,none,False
0,2.38675047433,0.77557910958,5,2.83265862599,0.0189906448367,0.0851480291986,linear,8100,none,True
0,2.75889278238,0.137055133848,4,34612982.821,0.18120775688,0.0255985787676,sigmoid,9700,none,True
0,4.9604463262,0.185110368312,5,6.32731997476,0.459206304144,0.0489961630131,linear,2100,l1,True
0,2.48840179657,0.999090593603,3,2.79165964143,0.42239328988,auto,sigmoid,3800,l1,True
0,1.52780726405,0.970850999289,7,1.99023492385,0.474604309218,auto,sigmoid,7200,max,False
0,0.426181738327,0.737322972608,4,2.73582017084,0.246212148178,0.0668892088294,rbf,1900,none,False
0,0.0516067250634,0.229775315629,6,2.79164835373,0.486098268432,0.0611467513952,poly,3600,l2,True
0,1.12784444619,0.242881965958,3,3.78972064547,0.496371489394,auto,linear,8700,l1,True
0,0.442123666818,0.631508908284,4,11652233.5862,0.217817876088,0.0782249931475,poly,5700,none,True
0,1.97813695894,0.769451504309,6,2.30247584225,0.401085434961,0.0484989361299,rbf,4900,none,False
0,4.92719474803,0.689170916373,9,1.5897038263,0.481569357456,auto,linear,9500,l2,True
0,4.85362118932,0.723759641457,8,6.75498183325,0.0200670108273,auto,rbf,3800,none,False
0,0.612801757765,0.442569996692,9,12.2256719424,0.135904018433,0.0446229390201,linear,7700,none,False
0,4.14854450216,0.904033404423,4,2.79165964143,0.494443176917,auto,sigmoid,1000,l1,True
0,3.27686622804,0.362083907404,5,1.99023492385,0.0459830703541,auto,sigmoid,7500,max,False
0,3.73262387305,0.897117621241,3,3.20067278097,0.151542311921,auto,linear,4300,max,True
0,4.21481902877,0.227448413217,9,2.79165964143,0.394379807193,auto,sigmoid,4300,none,True
0,3.32699116317,0.898600389496,3,2.79883199698,0.149175677296,auto,rbf,3300,max,False
0,1.04086303203,0.438399387956,2,1.68881020626,0.00976893363539,auto,sigmoid,8100,l1,False
