,alpha,dev_accuracy,epsilon,fit_intercept,l1_ratio,loss,n_iter,normalization,penalty,shuffle
0,0.0757723027,7.2391303217,0.5713687574,False,0.604626069,squared_epsilon_insensitive,78,max,elasticnet,False
0,0.0084406192,7.4205244226,0.9872448501,False,0.34926979,epsilon_insensitive,59,l2,none,False
0,0.070274465,7.5738481151,0.505412928,False,0.2945023918,squared_loss,9,max,elasticnet,True
0,0.0812195201,7.6167451226,0.9416424903,False,0.2377132632,squared_loss,14,max,elasticnet,False
0,0.0027545843,7.8103329775,0.4394379138,False,0.3267262982,squared_loss,93,l2,l2,True
0,0.086588569,7.8222116719,0.0243679297,False,0.0076391695,epsilon_insensitive,62,max,elasticnet,True
0,0.0672358045,8.0131657223,0.0228130089,False,0.0527887887,epsilon_insensitive,10,max,elasticnet,True
0,0.098426693,8.7837316494,0.3614783282,False,0.8222678264,squared_loss,17,max,elasticnet,False
0,0.0269346107,8.9517665741,0.2073732771,True,0.7068487141,huber,7,l1,elasticnet,False
0,0.0300692976,10.8384046393,0.1121707261,False,0.9935419155,epsilon_insensitive,88,l1,none,True
0,0.0341027888,10.9087743415,0.0728778872,False,0.2805348607,squared_epsilon_insensitive,43,l2,elasticnet,False
0,0.0865555255,10.9903589882,0.8577042039,False,0.2434884982,squared_epsilon_insensitive,69,l1,l2,False
0,0.0452451033,10.9946663452,0.181416193,False,0.6267151397,epsilon_insensitive,23,l1,l2,False
0,0.0580127225,10.9952613267,0.488885963,False,0.3279015681,epsilon_insensitive,98,l1,l2,False
0,0.0956743719,10.9960683348,0.0469527259,False,0.8249893681,epsilon_insensitive,29,l1,l2,False
0,0.0412087013,10.9973585118,0.1222996229,False,0.5503212725,squared_epsilon_insensitive,87,l1,elasticnet,False
0,0.0419331371,10.9973585118,0.0431770382,False,0.9640054968,squared_epsilon_insensitive,56,l2,l1,True
0,0.0931338698,10.9973585118,0.7835909049,False,0.516173677,squared_loss,27,l1,l1,False
0,0.0278834347,10.9973585118,0.280356172,False,0.1034004615,huber,89,l2,l1,False
0,0.0024877928,10.9973585118,0.5351027691,False,0.6981072548,squared_epsilon_insensitive,20,l1,l1,True
0,0.0991192926,10.9973585118,0.7890980127,False,0.6249902953,squared_epsilon_insensitive,89,l2,l1,False
0,0.0750430885,10.9973585118,0.0928371123,False,0.8924321687,squared_epsilon_insensitive,76,l1,l1,False
0,0.0244990101,10.9973585118,0.9901046514,False,0.3814313405,squared_epsilon_insensitive,70,l1,elasticnet,True
0,0.0514748373,10.9973585118,0.4692594759,False,0.5765776159,huber,31,l1,l1,False
0,0.0259660893,10.9973585118,0.7609144947,False,0.1003810225,squared_epsilon_insensitive,31,l2,l1,False
0,0.0714381496,4.20516257357E+019,0.8800770796,True,0.8296890896,squared_loss,64,none,l1,True
0,0.0536655036,5.73220305322E+019,0.3174931599,True,0.7699616306,squared_loss,82,none,l1,True
0,0.0917620449,1.00548177739E+020,0.2018333616,False,0.1164783637,squared_loss,52,none,l1,True
0,0.0052418141,2.9651434085E+020,0.832417675,False,0.779776447,squared_loss,62,none,none,True
0,0.0022693779,3.5577858685E+020,0.7248539764,True,0.9884563135,squared_loss,30,none,l1,True
0,0.016796748,3.69386254582E+020,0.2465336124,True,0.2644855343,squared_loss,31,none,l1,True
0,0.0957330374,5.00780220337E+020,0.2283601102,True,0.2391255601,squared_epsilon_insensitive,61,none,none,False
0,0.0971897439,5.02815508127E+020,0.8433084879,False,0.7671836328,squared_loss,72,none,none,False
0,0.0235537614,8.97489065307E+020,0.6424270064,False,0.9615078138,squared_epsilon_insensitive,35,none,l2,False
0,0.0572310525,9.86360908598E+020,0.925873179,False,0.8071294967,squared_epsilon_insensitive,28,none,l2,False
0,0.0856551695,1.08705901893E+021,0.4105341876,True,0.9917409675,squared_epsilon_insensitive,12,none,l2,True
0,0.0846841455,1.55337123163E+021,0.179839678,False,0.4237013943,squared_epsilon_insensitive,43,none,none,True
